benchmark_schema_version,benchmark_run_id,benchmark_scale,benchmark_dataset_ids,benchmark_git_commit,benchmark_graph_id,graph_id,weighting,K,n_raw_paths,n_dedup_candidates,alt_recall_at_k,first_true_rank_A1,first_true_rank_A2,first_true_rank_R2,first_true_rank_R3,mrr,is_primary_decision_row,decision_rule_pass,runtime_s,peak_rss_mib
1,h2_kshortest_exact_control_20260714,local-smoke,"h2_bubble_graph_synthetic,h2_repeat_choice_graph_synthetic",0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,bubble,bubble,evidence_weighted,2,2,2,1.0,1,2,,,0.75,false,false,0.119012292,1424.53515625
1,h2_kshortest_exact_control_20260714,local-smoke,"h2_bubble_graph_synthetic,h2_repeat_choice_graph_synthetic",0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,bubble,bubble,evidence_weighted,5,3,3,1.0,1,2,,,0.75,false,false,0.000631875,1424.91015625
1,h2_kshortest_exact_control_20260714,local-smoke,"h2_bubble_graph_synthetic,h2_repeat_choice_graph_synthetic",0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,bubble,bubble,evidence_weighted,10,3,3,1.0,1,2,,,0.75,true,true,0.000847,1424.91015625
1,h2_kshortest_exact_control_20260714,local-smoke,"h2_bubble_graph_synthetic,h2_repeat_choice_graph_synthetic",0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,bubble,bubble,evidence_weighted,50,3,3,1.0,1,2,,,0.75,false,false,0.000717625,1424.91015625
1,h2_kshortest_exact_control_20260714,local-smoke,"h2_bubble_graph_synthetic,h2_repeat_choice_graph_synthetic",0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,bubble,bubble,evidence_weighted,100,3,3,1.0,1,2,,,0.75,false,false,0.000264709,1424.91015625
1,h2_kshortest_exact_control_20260714,local-smoke,"h2_bubble_graph_synthetic,h2_repeat_choice_graph_synthetic",0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,bubble,bubble,uniform,2,2,2,1.0,1,2,,,0.75,false,false,0.019155292,1424.91015625
1,h2_kshortest_exact_control_20260714,local-smoke,"h2_bubble_graph_synthetic,h2_repeat_choice_graph_synthetic",0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,bubble,bubble,uniform,5,3,3,1.0,1,2,,,0.75,false,false,0.000177875,1424.91015625
1,h2_kshortest_exact_control_20260714,local-smoke,"h2_bubble_graph_synthetic,h2_repeat_choice_graph_synthetic",0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,bubble,bubble,uniform,10,3,3,1.0,1,2,,,0.75,false,false,0.000158584,1424.91015625
1,h2_kshortest_exact_control_20260714,local-smoke,"h2_bubble_graph_synthetic,h2_repeat_choice_graph_synthetic",0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,bubble,bubble,uniform,50,3,3,1.0,1,2,,,0.75,false,false,0.000188625,1424.91015625
1,h2_kshortest_exact_control_20260714,local-smoke,"h2_bubble_graph_synthetic,h2_repeat_choice_graph_synthetic",0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,bubble,bubble,uniform,100,3,3,1.0,1,2,,,0.75,false,false,0.000428041,1424.91015625
1,h2_kshortest_exact_control_20260714,local-smoke,"h2_bubble_graph_synthetic,h2_repeat_choice_graph_synthetic",0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,repeat_choice,repeat_choice,evidence_weighted,2,2,2,1.0,,,1,2,0.75,false,false,0.000141417,1424.91015625
1,h2_kshortest_exact_control_20260714,local-smoke,"h2_bubble_graph_synthetic,h2_repeat_choice_graph_synthetic",0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,repeat_choice,repeat_choice,evidence_weighted,5,3,3,1.0,,,1,2,0.75,false,false,0.000127875,1424.91015625
1,h2_kshortest_exact_control_20260714,local-smoke,"h2_bubble_graph_synthetic,h2_repeat_choice_graph_synthetic",0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,repeat_choice,repeat_choice,evidence_weighted,10,3,3,1.0,,,1,2,0.75,true,true,0.000966917,1424.91015625
1,h2_kshortest_exact_control_20260714,local-smoke,"h2_bubble_graph_synthetic,h2_repeat_choice_graph_synthetic",0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,repeat_choice,repeat_choice,evidence_weighted,50,3,3,1.0,,,1,2,0.75,false,false,0.000544708,1424.91015625
1,h2_kshortest_exact_control_20260714,local-smoke,"h2_bubble_graph_synthetic,h2_repeat_choice_graph_synthetic",0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,repeat_choice,repeat_choice,evidence_weighted,100,3,3,1.0,,,1,2,0.75,false,false,0.000108,1424.91015625
1,h2_kshortest_exact_control_20260714,local-smoke,"h2_bubble_graph_synthetic,h2_repeat_choice_graph_synthetic",0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,repeat_choice,repeat_choice,uniform,2,2,2,1.0,,,1,2,0.75,false,false,0.000160167,1424.91015625
1,h2_kshortest_exact_control_20260714,local-smoke,"h2_bubble_graph_synthetic,h2_repeat_choice_graph_synthetic",0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,repeat_choice,repeat_choice,uniform,5,3,3,1.0,,,2,3,0.41666666666666663,false,false,0.000348834,1424.91015625
1,h2_kshortest_exact_control_20260714,local-smoke,"h2_bubble_graph_synthetic,h2_repeat_choice_graph_synthetic",0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,repeat_choice,repeat_choice,uniform,10,3,3,1.0,,,2,3,0.41666666666666663,false,false,0.000277917,1424.91015625
1,h2_kshortest_exact_control_20260714,local-smoke,"h2_bubble_graph_synthetic,h2_repeat_choice_graph_synthetic",0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,repeat_choice,repeat_choice,uniform,50,3,3,1.0,,,2,3,0.41666666666666663,false,false,0.000123958,1424.91015625
1,h2_kshortest_exact_control_20260714,local-smoke,"h2_bubble_graph_synthetic,h2_repeat_choice_graph_synthetic",0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,repeat_choice,repeat_choice,uniform,100,3,3,1.0,,,2,3,0.41666666666666663,false,false,0.0001175,1424.91015625
